Dag,Uur,Maaltijd,Sport,Opmerkingen,Kcal,Koolhydraten,Eiwitten,Suikers,Vetten,Cholesterol,Magnesium,Vezels
1 FEBRUARI 2015,7u45,Hamburger, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
1 FEBRUARI 2015,8u15,Sla,lopen 5km, fap dag, 3000,400,80,90,200,250,500,40
1 FEBRUARI 2015,8u17,puree,lopen 5km, fap dag, 3000,400,80,90,200,250,500,40
2 FEBRUARI 2015,8u25,omlette,lopen 5km, fap dag, 3000,400,80,90,200,250,500,40
2 FEBRUARI 2015,8u45,Sla,lopen 5km,fap dag, 3000,400,80,90,200,250,500,40
3 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
3 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
3 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
3 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
4 FEBRUARI 2015,22u15,Chips, lopen 5km,, 3000,400,80,90,200,250,500,40
5 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
5 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
5 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
5 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
6 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
7 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 4000,4000,800,900,2000,2500,0,400
8 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
9 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
10 FEBRUARI 2015,22u15,Chips, ,, 3000,400,80,90,200,250,500,40
10 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
10 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
10 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
10 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km,, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
11 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
12 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
12 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
12 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
12 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
13 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
13 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
13 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
13 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
14 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
14 FEBRUARI 2015,22u15,Chips, lopen 5km, moeilijke dag, 3000,400,80,90,200,250,500,40
