Dag,Uur,Maaltijd,Sport,Opmerkingen,Energie (kcal),Koolhydraten (g),Eiwitten (g),Suikers (g),Vetten (g),Cholesterol (mg),Magnesium (mg),Vezels (g)
3/2/2016,11:00 AM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
3/2/2016,2:00 PM,Pizza American (Dr. Oetker),,,609,77.1,27,12,20.4,60,20,9
3/2/2016,3:00 PM,Frambozen (75g),,,51,10.73,0.9,10.58,0.38,0,18.75,5.25
3/2/2016,3:00 PM,Donut (1 stuk),,,372,31,7,10,24.5,25,20,1
3/2/2016,6:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
3/2/2016,8:00 PM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
3/2/2016,10:00 PM,Doritos Chips (200g),,,1108,105.6,11,5.2,69,0,60,10.4
3/2/2016,11:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
4/2/2016,11:00 AM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
4/2/2016,11:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
4/2/2016,12:30 PM,Kip kerrie quinoa met zoete aardappel en mango (1 portie),,,0,0,0,0,0,0,0,0
4/2/2016,2:00 PM,Frambozen (75g),,,51,10.73,0.9,10.58,0.38,0,18.75,5.25
4/2/2016,5:00 PM,Mandarijn (1 stuk),,,49,10.1,0.7,9.2,0.3,0,7,1.9
4/2/2016,6:00 PM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
4/2/2016,8:00 PM,Donut (1 stuk),,,372,31,7,10,24.5,25,20,1
4/2/2016,9:00 PM,Water (1L),,,0,0,0,0,0,0,1,0
5/2/2016,11:00 AM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
5/2/2016,11:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
5/2/2016,12:30 PM,Aziatische kip met rijst en stoomgroenten,,,487,103.2,29.4,14.2,6.3,27.3,20,2.7
5/2/2016,5:00 PM,Mandarijn (1 stuk),,,49,10.1,0.7,9.2,0.3,0,7,1.9
5/2/2016,10:00 PM,Doritos Chips (200g),,,1108,105.6,11,5.2,69,0,60,10.4
5/2/2016,10:00 PM,Ice Tea (2L),,,100,6,0,0,0,0,20,0
5/2/2016,10:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
6/2/2016,11:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
6/2/2016,12:30 PM,Chipolataworst met gekookte aardappelen en spruiten,,,0,0,0,0,0,0,0,0
6/2/2016,5:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
6/2/2016,6:00 PM,Pannenkoeken (6 stuks),,,630,90,20.4,19.8,19.8,90,60,1.8
6/2/2016,6:00 PM,Wit brood met surimisalade (1 snee),,,157.5,12.6,23.25,2.25,1.5,45,22.5,0
6/2/2016,8:00 PM,Appelcake (1/4 stuk),,,444,47,7.6,25,25,90,3.5,1
6/2/2016,8:00 PM,Wortelen (4 stuks),,,66,10.4,2,9.8,0.4,0,20,6.8
7/2/2016,11:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
7/2/2016,12:30 PM,Belegde (kipsla en vleessla) broodjes (2 stuks),,,766,64,24,4,46,43,30,2
7/2/2016,4:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
7/2/2016,6:00 PM,"Kip met gebakken aardappelen en sla, komkommer, tomaat",,,732,132.8,35.9,22.2,9.2,40,30,3.5
7/2/2016,8:00 PM,Cola Light (33cl),,,15,0.9,0,0,0,0,0.3,0
7/2/2016,8:00 PM,Water (1L),,,0,0,0,0,0,0,1,0
8/2/2016,9:30 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
8/2/2016,12:00 PM,Gestoomde groenten,,,264,41.6,8,39.2,1.6,0,80,27.2
8/2/2016,6:00 PM,Frieten met kippenburger (Quick),,,559,36,25.2,0,34.5,61,60,3.5
8/2/2016,6:00 PM,Cola Light (1L),,,50,3,0,0,0,0,10,0
8/2/2016,11:59 PM,Ice Tea (33cl),,,15,0.9,0,0,0,0,0.3,0
9/2/2016,9:30 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
9/2/2016,9:30 AM,Pudding (200ml),,,270,48,7.6,37.8,6.4,8,20,0
9/2/2016,12:00 PM,Mandarijn (1 stuk),,,49,10.1,0.7,9.2,0.3,0,7,1.9
9/2/2016,1:00 PM,Tomatensoep (1 tas),,,41,3,1,0.8,2.9,0.1,4,0.5
9/2/2016,7:30 PM,Gestoomde groenten,,,264,41.6,8,39.2,1.6,0,80,27.2
9/2/2016,7:00 PM,Cola Light (33cl),,,15,0.9,0,0,0,0,0.3,0
9/2/2016,10:00 PM,Ice Tea Zero (66cl),,,30,1.8,0,0,0,0,0.6,0
10/2/2016,12:00 PM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
10/2/2016,12:00 PM,Pudding (200ml),,,270,48,7.6,37.8,6.4,8,20,0
10/2/2016,8:00 PM,Pizza Fungi,,,513,78,27,12,10.5,60,20,7.5
10/2/2016,9:00 PM,Ice Tea (2L),,,100,6,0,0,0,0,20,0
11/2/2016,10:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
11/2/2016,10:00 AM,Pudding (200ml),,,270,48,7.6,37.8,6.4,8,20,0
11/2/2016,2:00 PM,Smos Martino,,,292,3.6,36.4,0,14.8,92.6,40,0
11/2/2016,8:00 PM,Doritos Chips (100g),,,554,52.8,5.5,2.6,34.5,0,30,5.2
11/2/2016,9:00 PM,Ice Tea (2L),,,100,6,0,0,0,0,20,0
12/2/2016,12:00 PM,Pizza Fungi,,,513,78,27,12,10.5,60,20,7.5
12/2/2016,2:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
12/2/2016,6:00 PM,Groentensoep (1 tas),,,48,6,2.5,0.5,1.6,15,12,2.1
12/2/2016,6:00 PM,Wit brood met kipsla (2 sneden),,,315,25.2,46.5,4.5,3,90,45,0
12/2/2016,10:00 PM,Cola Light (2L),,,100,6,0,0,0,0,20,0
13/2/2016,12:00 PM,Groentensoep (1 tas),,,48,6,2.5,0.5,1.6,15,12,2.1
13/2/2016,12:00 PM,Rijst met kip en ananas,,,523,95.5,26,12.4,7.1,20,30,2.9
13/2/2016,3:00 PM,Water (1/2L),,,0,0,0,0,0,0,0.5,0
13/2/2016,6:00 PM,Water (1L),,,0,0,0,0,0,0,1,0
13/2/2016,6:00 PM,Wit brood met surimisalade (6 sneden),,,945,75.6,139.5,13.5,9,270,135,0
13/2/2016,8:00 PM,Meloen (100g),,,37,7.8,0.6,7.5,0.3,0,10,0.7
13/2/2016,10:00 PM,Doritos Chips (100g),,,554,52.8,5.5,2.6,34.5,0,30,5.2
13/2/2016,10:00 PM,Cola Light (1L),,,50,3,0,0,0,0,10,0
14/2/2016,12:00 PM,Belegde (kipsla en vleessla) broodjes (2 stuks),,,766,64,24,4,46,43,30,2
14/2/2016,2:00 PM,Cola Light (1L),,,50,3,0,0,0,0,10,0
14/2/2016,6:00 PM,Wok met kip en noodels,,,722,164,10,1.2,0,0,30,3
14/2/2016,7:00 PM,Cola Light (1L),,,50,3,0,0,0,0,10,0
14/2/2016,8:00 PM,Cornflakes (100g),,,376,81.5,7.9,7.5,0.8,0,10,3.5
14/2/2016,9:00 PM,Ice Tea Zero (66cl),,,30,1.8,0,0,0,0,0.6,0
15/2/2016,10:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
15/2/2016,10:00 AM,Pudding (200ml),,,270,48,7.6,37.8,6.4,8,20,0
15/2/2016,1:00 PM,Hamburger,,,272,2.5,0,21,20,60,20,0
15/2/2016,2:00 PM,Frambozen (75g),,,51,10.73,0.9,10.58,0.38,0,18.75,5.25
15/2/2016,2:00 PM,Ice Tea Zero (33cl),,,15,0.9,0,0,0,0,0.3,0
15/2/2016,8:00 PM,Gestoomde groenten,,,264,41.6,8,39.2,1.6,0,80,27.2
15/2/2016,9:00 PM,Mandarijn (1 stuk),,,49,10.1,0.7,9.2,0.3,0,7,1.9
15/2/2016,11:00 PM,Ice Tea Zero (33cl),,,15,0.9,0,0,0,0,0.3,0
16/2/2016,11:00 AM,Citroen (1/2 stuk),,,18,3.25,0.25,1.5,0.2,0,5,1.1
16/2/2016,11:00 AM,Pudding (200ml),,,270,48,7.6,37.8,6.4,8,20,0
16/2/2016,2:00 PM,Water (1L),,,0,0,0,0,0,0,1,0
16/2/2016,2:00 PM,Mandarijn (1 stuk),,,49,10.1,0.7,9.2,0.3,0,7,1.9
16/2/2016,8:00 PM,Kipburger met frieten en groenten,,,283,26.5,14,1.9,13.5,40,40,0.2
16/2/2016,8:00 PM,Ice Tea Zero (33cl),,,15,0.9,0,0,0,0,0.3,0
16/2/2016,9:00 PM,Cola Zero (2L),,,100,6,0,0,0,0,20,0
