Dag,Uur,Maaltijd,Sport,Opmerkingen,Kcal,Koolhydraten,Eiwitten,Suikers,Vetten,Cholesterol,Magnesium,Vezels
Maandag 11/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Maandag 11/04/2016,13:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Maandag 11/04/2016,18:30,Spaghetti bolognaisse (200g),,,728,90.56,36,13.98,25.46,60,1,8.2
Maandag 11/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Dinsdag 12/04/2016,10:00,boterham met choco (1stuk),Wandelen met Hond (4km),,304,43.21,13.12,15.25,9.7,12,1,3.2
Dinsdag 12/04/2016,13:00,Overschot Spaghetti,,,728,90.56,36,13.98,25.46,60,1,8.2
Dinsdag 12/04/2016,18:30,chipolata worst met patatten en bloemkool (3borden),,,1400,68.72,57.57,0,77.13,130,1,5
Dinsdag 12/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Woensdag 13/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Woensdag 13/04/2016,13:00,Overschot bloemkool,,,1400,68.72,57.57,0,77.13,130,1,5
Woensdag 13/04/2016,18:30,croque monsieur (3 stuks),,,1230,123,58,15,55,174,1,5.7
Woensdag 13/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Donderdag 14/04/2016,10:00,boterham met choco (1stuk),Wandelen met Hond (4km),,304,43.21,13.12,15.25,9.7,12,1,3.2
Donderdag 14/04/2016,13:00,spaghetti met kaassaus (2borden),,,722,62.82,39.5,7.2,33.98,314,1,3.8
Donderdag 14/04/2016,18:30,cheeseburger+curryworst special+ klein pak fritten,,,1345,101,48,15,72,180,1,4
Donderdag 14/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Vrijdag 15/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Vrijdag 15/04/2016,13:00,croque monsieur (3stuks),,,1230,123,58,15,55,174,1,5.7
Vrijdag 15/04/2016,18:30,bami goring met kip (400g),,,1492,220,54.52,14.24,44,52,1,16
Vrijdag 15/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Zaterdag 16/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Zaterdag 16/04/2016,13:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Zaterdag 16/04/2016,18:30,bami goring met kip (400g),,,1492,220,54.52,14.24,44,52,1,16
Zaterdag 16/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Zondag 17/04/2016,10:00,boterham met choco (1stuk),Wandelen met Hond (4km),,304,43.21,13.12,15.25,9.7,12,1,3.2
Zondag 17/04/2016,13:00,steak met fritten en provensalse saus,,,1124,86,55,4.5,61,10,1,2
Zondag 17/04/2016,18:30,micado pannenkoeken (4stuks) ,,,1360,200,20,25,57,200,1,6
Zondag 17/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Maandag 18/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Maandag 18/04/2016,13:00,spaghetti met kaassaus (2borden),,,722,62.82,39.5,7.2,33.98,314,1,3.8
Maandag 18/04/2016,18:30,visschotel met puree (300g),,,400,45,15,7,7,25,1,8
Maandag 18/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Dinsdag 19/04/2016,10:00,boterham met choco (1stuk),Wandelen met Hond (4km),,304,43.21,13.12,15.25,9.7,12,1,3.2
Dinsdag 19/04/2016,13:00,koffiekoek (3stuks),,,750,88,15,35,43,42,1,2.2
Dinsdag 19/04/2016,18:30,koffiekoek (3stuks),,,750,88,15,35,43,42,1,2.2
Dinsdag 19/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Woensdag 20/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Woensdag 20/04/2016,13:00,spaghetti met kaassaus (3borden),,,722,62.82,39.5,7.2,33.98,314,1,3.8
Woensdag 20/04/2016,18:30,croque monsieur (3stuks),,,1230,123,58,15,55,174,1,5.7
Woensdag 20/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Donderdag 21/04/2016,10:00,boterham met choco (1stuk),Wandelen met Hond (4km),,304,43.21,13.12,15.25,9.7,12,1,3.2
Donderdag 21/04/2016,13:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Donderdag 21/04/2016,18:30,cheeseburger+curryworst special+ klein pak fritten,,,1345,101,48,15,72,180,1,4
Donderdag 21/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Vrijdag 22/04/2016,10:00,boterham met choco (2stuk),,,608,86.42,26.24,30.5,19.4,24,1,6.4
Vrijdag 22/04/2016,13:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Vrijdag 22/04/2016,18:30,balletjes in tomatensaus met kroketten,,,650,40,35,20,34,20,1,7.5
Vrijdag 22/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Zaterdag 23/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Zaterdag 23/04/2016,13:00,ovengebakte broodjes (2stuks),,,844,110,42,1,24,20,1,6
Zaterdag 23/04/2016,18:30,chipolata worst met patatten en bloemkool (3borden),,,1400,68.72,57.57,0,77.13,130,1,5
Zaterdag 23/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
Zondag 24/04/2016,10:00,boterham met choco (1stuk),,,304,43.21,13.12,15.25,9.7,12,1,3.2
Zondag 24/04/2016,13:00,steak met fritten en provensalse saus,,,1124,86,55,4.5,61,10,1,2
Zondag 24/04/2016,18:30,croque monsieur (3stuks),,,1230,123,58,15,55,174,1,5.7
Zondag 24/04/2016,22:00,2L water,,,0,0,0,0,0,0,1,0
