Dag,Uur,Maaltijd,Kcal,Koolhydraten,Eiwitten,Suikers,Vetten,Cholesterol,Magnesium,Vezels
8 feb,10u10,Boterham Choco,640,800,120,300,400,200,500,400
8 feb,13u05,Broodje,900,1200,360,100,200,300,200,150
8 feb,18u16,Ovenschotel,1800,300,400,750,1200,122,122,1000
9 feb,7u30,Boterham Kaas,700,900,20,30,40,250,550,350
9 feb,14u15,Chinees,1800,2400,700,200,400,600,150,100
9 feb,19u10,Frieten,2400,700,900,1500,2400,300,500,1500
10 feb,9u25,Boterham Choco,640,800,120,300,400,200,500,400
10 feb,12u15,Chinees,1800,2400,700,200,400,600,150,100
10 feb,19u30,Frieten,2400,700,900,1500,2400,300,500,1500
